train,test,test_label
2a,1a,jeffrey
2b,1b,lawrence
4a,5a,patricia
4b,5b,lindsey
10a,6a,eric
10b,6b,robert
12a,9a,emily
12b,9b,kayla
16a,15a,joseph
16b,15b,kevin
18a,17a,lawrence
18b,17b,craig
22a,26a,elena
22b,26b,samantha
23a,28a,laura
23b,28b,megan
25a,29a,nelson
25b,29b,samuel
32a,30a,maria
32b,30b,christine
33a,31a,angela
33b,31b,erin
37a,34a,kayla
37b,34b,jennifer
38a,35a,craig
38b,35b,dennis
39a,36a,justin
39b,36b,benjamin
44a,40a,floor
44b,40b,toilet
48a,42a,kayla
48b,42b,angela
49a,43a,brian
49b,43b,neil
51a,45a,natalie
51b,45b,christine
52a,46a,christine
52b,46b,jennifer
53a,50a,booze
53b,50b,yoga
