qID,sentence,option1,option2,answer,pairing
38XPGNCKHVEI3JLPPQYD71CPNUD4V5-2,"Angela found it very rewarding to help Christine with their homework, which made _ feel thankful.",Angela,Christine,2,99
3I7KR83SNABQQPYINJ4XU2OFZDKK9U-2,"Angela decides to donate a kidney to Erin, which makes _ a really grateful person.",Angela,Erin,2,99
3HYV4299H0UNQKNYM5NGWBGZ0S8E8M-2,Logan told Adam that he could design a stage set for him.  _ was grateful.,Logan,Adam,2,99
3HY86PZXPYG5FK3DNKE1H1TRMMGE1G-2,Craig came over to Logan's house and helped him get stains out of his carpet.  _ was grateful.,Craig,Logan,2,99
3HY86PZXP0WK992K7IQ19ZHZAES1E6-1,Brian's hair always got big when it was humid. Dennis bought a dehumidifier to help. _ was grateful for the gesture.,Brian,Dennis,1,99
3HXK2V1N4MTPI8G7WHG3ELCHG1TG2W-1,"The soap in the bathroom bothered Jennifer's skin, so Patricia replaced it with a different kind. _ felt grateful.",Jennifer,Patricia,1,99
3FK4G712NXY6JN7P1YDQ2JKFDDQSS3-2,Jeffrey showed Joseph how to make a google doc on the computer.  _ was grateful.,Jeffrey,Joseph,2,99
3EHIMLB7F7XZAUE0C6VMHEDCNQYH8Y-1,"Kevin just got a new bike from Nick for his Birthday, so _ is very grateful.",Kevin,Nick,1,99
3DTJ4WT8BDD2AGOLVVNT9VD3Z1SZEP-2,Jason showed Steven the proper techniques in order to care for Rayon.  _ was grateful.,Jason,Steven,2,99
3D42WVSDH8TUB4ECUK5GD6P1583YFF-2,Logan took time out of his day to show Matthew the proper way to clean a camera lens.  _ was grateful.,Logan,Matthew,2,99
3D3B8GE89456V5U5K9L5IHYMMXHP9N-1,"Jennifer was no longer homeless after Samantha took her in, _ was very grateful for the new shelter.",Jennifer,Samantha,1,99
3D0LPO3EADD3B6QCDL06SYMNL1SOYG-2,"Joel was wealthy, so he bought Dennis a brand new car. _ felt very grateful.",Joel,Dennis,2,99
3BPP3MA3TCII5R7HGUWK1G25KTXEL0-2,Aaron volunteered to come over to Jeffrey's house to climb up the ladder to help hang his Christmas Lights.  _ was grateful.,Aaron,Jeffrey,2,99
3B623HUYJ643USRN7YJLDQ8MPLJS8E-1,"After Angela got a perm, her hair was in poor condition. After Kayla offered to fix it, _ felt very grateful.",Angela,Kayla,1,99
3ABAOCJ4RAI621EE9V4ZN8UGRQ8QM8-2,"Emily gave extra time to help Laura with  cheerleading, as _ was very grateful for  help.",Emily,Laura,2,99
3ABAOCJ4R82R8CF7PXSZVA68YHPMQR-2,"While caring for the elderly, Victoria cheerfully helped Samantha care for herself, and _ was grateful for her empathy.",Victoria,Samantha,2,99
38B7Q9C28G3JRADTLFAWKJJX30G96Z-2,Monica demonstrated to Katrina how to play YouTube videos without popup ads.  _ was grateful.,Monica,Katrina,2,99
385MDVINFCD6R158Y9ED77WDN7KWJH-2,Benjamin told Lawrence that he would volunteer to calculate the company's retained earnings.  _ was grateful.,Benjamin,Lawrence,2,99
37NXA7GVST4Z72T3BKLU1KQRF3YVLA-2,"Aaron went to pick up Michael, who needed a ride to the airport, and _ was very grateful.",Aaron,Michael,2,99
37MQ8Z1JQEUAAA206PQ9TNVCRLP2YJ-2,Katrina bought some catnip for Maria's brand new kitten which made _ feel very grateful.,Katrina,Maria,2,99
3JMQI2OLFZ331LW2WC1F8QO9PBKDNU-2,Craig told Jeffrey that he would help him form an LLC.  _ was grateful.,Craig,Jeffrey,2,99
36QZ6V158BR1SPY0A1KQ9IQBM0WUST-2,"Jennifer lent her favorite dress for Christine to wear at her prom, and _ was very grateful for it.",Jennifer,Christine,2,99
3KVQ0UJWPXJYK2QN97AJ6XD856EW5K-2,William showed Randy how to replace the paneling in his home.  _ was grateful.,William,Randy,2,99
3MQY1YVHS5YTRR8WGVOPDALJZLQB2Q-1,After almost drowning Dennis was saved by Joel performing CPR on him. _ was very grateful.,Dennis,Joel,1,99
3Z33IC0JC0K460SUMNI4WBZWF779VD-1,"The chronic acid reflux that Katrina had suffered from was relieved by Patricia, and _ was grateful.",Katrina,Patricia,1,99
3XAOZ9UYRZPUCNTIWB91BII508UQ1R-2,"The earthquake destroyed the house of Samuel, but not Jeffrey's, so _ is now very grateful.",Samuel,Jeffrey,2,99
3W3RSPVVGU5EOC3AQSNPXWCGUSPLUF-2,"The Mom of Betty has passed away, but Katrina's is still living, so _ is very grateful.",Betty,Katrina,2,99
